Manufacturer Part Number,Manufacturer,Digi-Key Part Number,Reference,Quantity,Description
RNMF14FTC220R,Stackpole Electronics Inc,S220CACT-ND,R1-8,8,RES 220 OHM 1/4W 1% AXIAL for LED green
RNMF14FTC330R,Stackpole Electronics Inc,S330CACT-ND,R9-16,8,RES 330 OHM 1/4W 1% AXIAL for LED red
OSRGHC3132A,OptoSupply,N/A,D1-D8,8,3mm Round Red & Green LED Common Cathode
PEC20DBAN,Sullins Connector Solutions,S2112E-20-ND,"J1,J2",1,CONN HEADER R/A 40POS 2.54MM cut to size
